chord,x,y,color
A,8.127265,-10.582923,3.469342
A#,-22.637661,-5.0548615,-11.551409
A#/C#,-45.337585,1.7958885,-16.583385
A#2,-31.76449,13.259696,-10.838495
A#5,-29.822506,-9.779755,-9.518262
A#7,3.4366848,-8.2607975,2.3659697
A#dim,22.068785,-0.3054302,8.9309845
A#dim7,-20.363075,-0.1182322,-11.600071
A#m,-40.347145,1.3187226,-14.993323
A#m/C#,-39.513573,13.037244,-17.00792
A#m7,-34.7962,11.965597,-14.416434
A#m7b5,-30.101948,9.2093935,-10.777785
A#m9,-30.394695,5.755274,-11.557345
A#maj7,-33.9485,8.241401,-13.005777
A#sus4,-38.47244,11.638028,-15.495752
A(5),-27.474041,2.1607804,-11.665634
A(7),-42.657204,-1.9303936,-15.2780485
A(9),-44.398308,-5.548983,-15.718446
A(b9),-27.879053,8.674858,-10.15441
A(maj9),-26.911373,-4.273162,-12.647635
A+,-29.261585,2.3052337,-11.814755
A/B,4.4011235,0.19578274,1.0776778
A/Bb,-35.382126,-8.632543,-15.548884
A/C#,13.001319,-10.911726,4.8866224
A/D,12.603808,3.0761652,6.18674
A/E,6.502739,-5.5236864,3.104735
A/F,-26.423841,-4.814911,-12.2677765
A/F#,-32.43968,-3.561235,-12.7902975
A/G,-29.995209,7.0575223,-10.510931
A/G#,6.6557193,-8.773548,3.2629073
A11,-33.39844,3.194729,-13.036297
A13,6.553812,1.1166558,1.8049982
A13b5,-22.075563,3.2508142,-11.470987
A2,-0.47588426,-1.2209994,0.27636412
A4,23.223015,3.1113205,10.862217
A5,11.584956,11.526607,4.405406
A6,11.858294,7.655001,4.866315
A6/B,-37.923702,11.167497,-15.472638
A6/C#,-35.166218,1.1456045,-13.6473465
A6/E,-37.640083,2.4159606,-13.67046
A7,12.402074,6.6001744,8.736359
A7#5,-30.000118,8.74759,-11.066628
A7(b9),-34.082962,1.4059976,-13.756689
A7-9/E,28.935356,2.7483125,12.054036
A7/C#,-36.055958,9.193711,-14.422551
A7/D,-38.883778,0.5177501,-14.4930725
A7/E,-34.102215,0.0539579,-14.336624
A7/G,10.167801,-7.4747543,5.4097915
A7add11,-29.239574,-1.7374053,-12.862543
A7add13,-43.083454,-6.1940694,-16.363304
A7add6,-30.260458,-4.063083,-12.2316265
A7b13,27.658508,-1.0002047,11.986044
A7b5,-27.833746,4.647547,-11.278949
A7b9,-23.520058,-1.191671,-13.740233
A7sus,-27.227154,11.080875,-9.829771
A7sus2,13.465895,-7.0916743,6.069655
A7sus2/E,-33.262215,-1.9031786,-12.828956
A7sus4,19.1505,-12.228322,8.301664
A7sus4/E,-27.686659,1.778138,-12.0013075
A9,10.149689,-5.7947526,5.5917196
A9/C#,-32.118614,-1.0402447,-13.5550165
A9sus4,-25.850174,3.4437342,-12.964342
AM,-41.398773,2.378212,-14.653033
AM7,20.366192,-7.1224003,8.503027
Aadd#11,-32.877125,11.763866,-10.8150625
Aadd11,11.53206,-12.74633,5.2592483
Aadd2/B,-15.974816,0.10934513,-7.8300734
Aadd4,-7.0457335,3.184536,-3.2060666
Aadd4/C#,-35.867023,13.913545,-10.089713
Aadd9,3.0243268,-1.494562,0.90424246
Aadd9/B,-23.498106,-2.8048573,-10.969013
Aadd9/C#,-28.99612,5.7951474,-10.7984295
Aadd9/E,-35.943573,-3.7965953,-13.427255
Aadd9/F#,-35.477516,4.761883,-14.192265
Aaug,11.758538,7.6662416,4.8361325
Aaug/Eb,30.521275,2.5324323,12.656514
Ab,42.0048,0.8014323,15.902275
Ab(b5),-40.463875,-5.671944,-15.57069
Ab/Bb,37.781357,4.7797747,14.836214
Ab/C,-31.9411,-0.7387545,-13.32812
Ab/Eb,-26.210045,13.805572,-10.537484
Ab/G,-31.714205,12.839997,-10.320687
Ab/Gb,-45.32881,5.4442806,-16.136007
Ab11/Db,40.015427,7.384758,-6.3041725
Ab13,37.694447,7.5347505,14.745036
Ab4,-34.793816,2.5448248,-13.653759
Ab5,-21.794813,5.94521,-11.038288
Ab6,-37.899307,5.263856,-14.476873
Ab6/Bb,-37.378815,-0.33127022,-14.185018
Ab7,41.270935,4.3220687,15.4342
Ab7#11,-23.782576,-1.6988372,-13.838228
Ab7/C,-35.476395,-0.4644457,-14.311506
Ab7sus4,39.532284,6.2394786,14.928683
Ab9,-37.47028,-1.9639506,-14.35288
AbM7,28.005695,-0.49535176,13.111112
AbMaj7,-39.280807,-2.4905891,-13.038463
Abadd9,22.025652,-6.9153934,8.668423
Abaug,-41.933643,-1.4312865,-15.192976
Abdim,-19.41726,3.9115832,-10.050135
Abdim7,18.883137,3.7945752,12.383434
Abm,39.45562,1.1396608,15.167691
Abm6,-30.520115,-3.4904351,-12.710911
Abm7,-20.71302,8.785647,-9.248697
Abm7b5,-29.1042,11.149446,-10.315503
Abm9,-36.5502,2.1987283,-13.723251
Abmaj13,34.837852,5.9295855,14.293522
Abmaj7,35.68861,9.054685,14.052161
Abmaj7/Bb,32.798782,0.18714887,13.309806
Abmaj7/Eb,37.46215,1.7467203,14.7347145
Abmaj9,34.515923,3.8463228,13.871653
Absus,-46.64184,3.374422,-16.588997
Absus4,-26.622387,1.6934154,-11.97536
Adim,36.17596,-2.1266108,14.182321
Adim/C,-31.931797,2.41039,-13.14118
Adim7,32.459995,11.207941,12.844349
Adim7/Bb,-32.861027,-4.1141677,-12.422117
Am,22.615885,-6.838404,9.060953
Am(7),-36.24687,7.6611624,-13.358663
Am/B,16.757149,-4.540659,7.83538
Am/C,14.199948,10.965215,4.5761986
Am/D,29.349417,7.4005632,12.825675
Am/E,8.718695,-7.584484,3.6677802
Am/F,30.937586,-7.2031026,11.639148
Am/F#,12.332385,-4.528355,6.805886
Am/G,29.554611,-6.1287756,11.694841
