chord,x,y,z,color
A,-2.7523406,-11.2913265,-5.6590247,3.469342
A#,-17.478218,4.736547,-24.40628,-11.551409
A#/C#,-30.852917,10.823704,-20.190527,-16.583385
A#2,-12.668933,3.8582141,15.394183,-10.838495
A#5,-22.918392,23.993595,8.448099,-9.518262
A#7,-7.4873,-0.8313258,0.9565918,2.3659697
A#dim,20.26064,-5.2757297,-18.624613,8.9309845
A#dim7,-18.969465,-19.314777,5.87768,-11.600071
A#m,-38.26332,-8.844247,1.089728,-14.993323
A#m/C#,-24.648413,27.490479,-5.036387,-17.00792
A#m7,-18.681438,16.760807,16.775717,-14.416434
A#m7b5,-14.499704,5.1964264,10.930538,-10.777785
A#m9,-18.7333,10.816403,4.140943,-11.557345
A#maj7,-30.250633,22.849382,-7.150855,-13.005777
A#sus4,-33.181137,14.5121565,2.1041048,-15.495752
A(5),-14.350793,5.6636024,2.882521,-11.665634
A(7),-40.56697,5.1531677,-7.525833,-15.2780485
A(9),-41.13609,-12.2223625,4.9703,-15.718446
A(b9),-14.743134,16.77883,5.7877293,-10.15441
A(maj9),-18.041533,7.5523095,-16.811594,-12.647635
A+,-20.938196,-5.8146086,-7.6848235,-11.814755
A/B,8.047947,20.420828,-6.1460357,1.0776778
A/Bb,-25.447859,9.653936,-15.169926,-15.548884
A/C#,4.4402666,-14.258374,-7.907631,4.8866224
A/D,10.638137,10.209816,10.52377,6.18674
A/E,0.7373809,-1.4848825,4.866366,3.104735
A/F,-13.509134,7.0142355,-18.307344,-12.2677765
A/F#,-23.571648,2.611313,-9.303189,-12.7902975
A/G,-17.06356,-9.442855,1.474315,-10.510931
A/G#,-2.4875174,-8.286866,-2.0920491,3.2629073
A11,-15.541667,9.568446,-6.523697,-13.036297
A13,8.723486,21.316334,-11.569095,1.8049982
A13b5,-8.214416,0.8424104,-18.85683,-11.470987
A2,-4.499978,12.121822,-2.3323157,0.27636412
A4,18.108181,-13.546499,17.623388,10.862217
A5,1.700413,-19.069897,16.108732,4.405406
A6,4.367601,-23.124557,6.854175,4.866315
A6/B,-34.80324,17.50743,-2.2712262,-15.472638
A6/C#,-37.85663,5.7087016,18.464777,-13.6473465
A6/E,-29.622274,0.3115612,-5.6462083,-13.67046
A7,4.7199593,-23.228865,2.6188328,8.736359
