,title,author,song_information,chords
0,Slow Dancing In The Dark chords,Slow Dancing In The Dark – Joji,"[Intro]
 |   
 [Verse 1]
   I don't want a friend (just me)
              I want my life in two (my life in two)
               Waiting to get there
               Waiting for you (all night)
                        I'm done fighting all night
  
 [Pre-Chorus 1]
 When I'm around slow dancing in the dark
                                       Don't follow me, you'll end up in my arms
  
 You have made up your mind
                         I don't need no more signs
     Can you?
 Can you?
  
 [Chorus]
 Give me reasons we should be complete
                                     You should be with him, I can't compete
                                        You looked at me like I was someone else, oh well
              Can't you see? (can't you see?)
                I don't wanna slow dance (I don't want to slow dance)
          In the dark
 Dark
  
 [Verse 2]
 When you gotta run
              Just hear my voice in you (my voice in you)
              Shutting me out of you (shutting me out of you)
                  Doing so great (so great, so great)
 You
  
 [Pre-Chorus 2]
 Used to be the one to hold you when you fall
  
 Yeah, yeah, yeah (when you fall, when you fall)
                          I don't fuck with your tone (I don't fuck with your tone)
  
 I don't wanna go home (I don't wanna go home)
                  Can it be one night?
    Can you?
 Can you?
  
 [Chorus]
 Give me reasons we should be complete
                                     You should be with him, I can't compete
                                        You looked at me like I was someone else, oh well
              Can't you see? (can't you see?)
                I don't wanna slow dance (I don't want to slow dance)
          In the dark
 Dark
         In the dark
 Dark
","['D', 'Bm', 'Em', 'F#m', 'F#', 'D', 'Bm', 'Em', 'F#m', 'F#', 'D', 'Bm', 'Em', 'F#m', 'F#', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'Dsus2', 'G', 'D', 'Bm', 'Em', 'F#m', 'F#', 'B', 'B7', 'Em', 'F#m', 'F#', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'Dsus2', 'G', 'D', 'Dsus2', 'G']"
0,All I Want Is You chords,All I Want Is You – U2,"U2 - ALL I WANT IS YOU
                         ======================
  
                             (CAPO 1ST FRET)
  
                                                                                                   
  
 [Intro]
  
  
 [Verse 1]
      You say you want     diamonds and a ring of gold
 You say you want your story to remain untold
  
  
 [Chorus 1]
              But all the promises we make
           From the cradle to the grave
       When all I want is you
  
  
 [Verse 2]
      You say you'll give me a highway with no one on it
    A treasure just to look upon it
          All the riches in the night
  
      You say you'll give me eyes in a moon of blindness
    A river in a time of dryness
    A harbour in the tempest
  
  
 [Chorus 2]
            But all the promises we make
           From the cradle to the grave
       When all I want is you
  
  
 [Link 1]
  
  
 [Verse 3]
      You say you want your love to work out right
     To last with me through the night
  
      You say you want     diamonds and a ring of gold
       Your story to remain untold
       Your love not to grow cold
  
  
 [Chorus 3]
              But all the promises we break
           From the cradle to the grave
       When all I want is you
  
  
 [Link 2]
  
  
 [Middle]
 You - ou, all I want is you - ou, all I want is
 You - ou, all I want is you - ou
  
  
 [Solo]
  
  
 [Outro]
  
 <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span>  
 <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span>","['G', 'Cadd9', 'Em', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'Em', 'Cadd9', 'Em', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'Em', 'Cadd9', 'Em', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'Em', 'Cadd9', 'Em', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G']"
0,Sila chords,Sila – Sud,"Sud - Sila Chords
  
 Chords used:
  
 <span class=""_3PpPJ OrSDI"" data-name=""G"" style=""color: rgb(0, 0, 0);"">G</span> <span class=""_3PpPJ OrSDI"" data-name=""E"" style=""color: rgb(0, 0, 0);"">E</span>  
 <span class=""_3PpPJ OrSDI"" data-name=""G#m"" style=""color: rgb(0, 0, 0);"">G#m</span> <span class=""_3PpPJ OrSDI"" data-name=""C#7"" style=""color: rgb(0, 0, 0);"">C#7</span>  
  
 [Intro]
  
 [Verse]
      Matagal tagal din nawalan ng gana
       Pinagmamasadan ang dumaraan
        Lagi nalang matigas ang loob
  
     Sabik na may maramdaman
  
     Di ka man bago sa paningin
     Palihim kang nasa yakap ko't lambing
     Sa bawat pagtago
       Di mapigilan ang bigkas ng
 damdamin
  
  
 [Chorus]
         Walang sagot sa tanong
       Kung bakit ka mahalaga
    Walang papantay sa-yo
  
         Walang sagot sa tanong
       Kung bakit ka mahalaga
    Walang papantay sa-yo
  
  
 [Verse]
       Kung may darating man ang umaga
        Gusto kita sana muling marinig (marinig)
    Ngiti mo lang ang nakikita ko
    Tauhin man ang silid
  
     Walang papantay sayo
     Maging sino man sila
     Ikaw ang araw sa tag-ulan
                  At sa maulap kong umaga
  
  
 [Chorus]
         Walang sagot sa tanong
       Kung bakit ka mahalaga
    Walang papantay sa-yo
  
         Walang sagot sa tanong
       Kung bakit ka mahalaga
    Walang papantay sa-yo
  
 Maging sino man sila
  
  
 [Instrumental]
 |  |   
  
 [Chorus]
         Walang sagot sa tanong
       Kung bakit ka mahalaga
    Walang papantay sa-yo
  
                     Maging sino man sila  aahhhhhhhhhhhhh
    Paririrap paparira
    Walang papantay sa-yo
  
 Maging sino man sila
  
   Paririrap paparira
 Paririrap paparira
 haaaaaaaaaah
  
                    Maging sino man sila
  
    Walang papantay sa-yo
  
 Maging sino man sila
  
  
 <span class=""_3PpPJ OrSDI"" data-name=""C#m7"" style=""color: rgb(0, 0, 0);"">C#m7</span>     Walang papantay sa-yo
                    Maging sino man sila
","['Dmaj7', 'C#m7', 'Bm7', 'G', 'Esus4', 'E', 'F#', 'G#m', 'Am', 'C#7', 'Dmaj7', 'Dmaj7', 'C#m7', 'C#m7', 'Dmaj7', 'C#m7', 'Dmaj7', 'C#m7', 'Bm7', 'C#m7', 'Bm7', 'C#m7', 'Bm7', 'C#m7', 'Bm7', 'C#m7', 'Esus4', 'E', 'Dmaj7', 'C#m7', 'Bm7', 'C#m7', 'Dmaj7', 'C#m7', 'Bm7', 'Esus4', 'Dmaj7', 'C#m7', 'Dmaj7', 'C#m7', 'Cm7', 'Bm7', 'C#m7', 'Cm7', 'Bm7', 'C#m7', 'Cm7', 'Bm7', 'C#m7', 'Bm7', 'C#m7', 'Esus4', 'E', 'Dmaj7', 'C#m7', 'Bm7', 'C#m7', 'Dmaj7', 'C#m7', 'Bm7', 'Esus4', 'E', 'F#', 'G#m', 'C#7', 'C#7', 'F#', 'G#m', 'C#7', 'F#', 'G#m', 'Am', 'F#', 'F#', 'Dmaj7', 'C#m7', 'Bm7', 'C#m7', 'Dmaj7', 'C#m7', 'Bm7', 'Esus4', 'E', 'Dmaj7', 'C#m7', 'Bm7', 'C#m7', 'Dmaj7', 'C#m7', 'Bm7', 'Esus4', 'E', 'Dmaj7', 'Dmaj7', 'C#m7', 'Esus4', 'E', 'Dmaj7']"
0,The Scientist chords,The Scientist – Boyce Avenue,"[Intro]       
  
  
            [Verse]    come up to meet you, tell you i'm sorry, you don't know how lovely you are
                       i had to find you, tell you i ne-ed you, tell you i'll set you apart
                       tell me your secrets and ask me your questions, oh lets go back to the start
                       running in circles, coming in tails, heads are a science apart
  
  
  
            [Chorus]   nobody said it was easy,   it's such a shame for us to part
                       nobody said it was easy,   no-one ever said it would be this hard
                       oh take me back to the start
  
  
  
 [Solo]      
  
            [Verse]    i was just guessing at numbers and f--igures, pulling the puzzles apart
                       questions of science, science and pr-ogress, do not speak as loud as my heart
                       tell me you love me, come back and ha-unt me, oh and i rush to the start
                       running in circles, chasing t-ails, coming back as we are
  
  
            [Chorus]   nobody said it was easy,  oh it's such a shame for us to part
                       nobody said it was easy,  no-one ever said it would be so hard
                       i'm going back to the start
  
  
 [Outro]     ","['Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'C', 'G', 'D', 'C', 'G', 'G', 'C', 'G', 'G', 'Bm', 'Em', 'Em', 'C', 'G', 'Em', 'C', 'G', 'Em', 'C', 'G', 'Em', 'C', 'G', 'C', 'G', 'C', 'G', 'D', 'C', 'G', 'C', 'G', 'Em', 'C', 'G']"
0,Budapest chords,Budapest – George Ezra,"[Intro]
  
 [Verse 1]
   My house in Budapest, my, my hidden treasure chest
   Golden grand piano, my beautiful castillo
 You, you, I'd leave it all
  
 [Verse 2]
   My acres of a land, I have achieved
   It may be hard for you to stop and believe
          But for you, you, I'd leave it all        
          Oh, for you, you, I'd leave it all
  
 [Chorus]
 Give me one good reason why I should never make a change
 Baby, if you hold me, then all of this will go away
  
 [Verse 3]
   My many artefacts, the list goes on
   If you just say the words I, I'll up and run
         Oh, to you, you, I'd leave it all
          Oh, for you, you, I'd leave it all
  
 [Chorus]
 Give me one good reason why I should never make a change
 Baby, if you hold me, then all of this will go away
 Give me one good reason why I should never make a change
 Baby, if you hold me, then all of this will go away
  
 [Instrumental]
  
 [Verse 4]
   My friends and family, they don't understand
   They fear they'd lose so much if you take my hand
          But for you, you, I'd lose it all
          Oh, for you, you, I'd lose it all
  
 [Chorus]
 Give me one good reason why I should never make a change
 Baby, if you hold me, then all of this will go away
 Give me one good reason why I should never make a change
 Baby, if you hold me, then all of this will go away
  
 [Verse 5]
   My house in Budapest my, my hidden treasure chest
 <span class=""_3PpPJ OrSDI"" data-name=""F"" style=""color: rgb(0, 0, 0);"">F</span>   Golden grand piano, my beautiful castillo
 You, you, I'd leave it all
          Oh, for you, you, I'd leave it all
","['F', 'F', 'F', 'F', 'Bb', 'F', 'F', 'F', 'Bb', 'F', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'F', 'F', 'Bb', 'F', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'F', 'Bb', 'F', 'F', 'F', 'Bb', 'F', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'C', 'Bb', 'F', 'F', 'F', 'Bb', 'F', 'Bb', 'F']"
0,Canon In D chords,Canon In D – Johann Pachelbel,"Canon in D chords
 Johann Pachelbel (""about"" 1680) *
  
  
  
  
 or
  
 e|-2-0--------------|
 B|-----3-2-0---0-2--|
 G|-----------2------|
 D|------------------|
 A|------------------|
 E|------------------|
  
 * Alternate:
  
 Capo II
  
 <span class=""_3PpPJ OrSDI"" data-name=""A"" style=""color: rgb(0, 0, 0);"">A</span> <span class=""_3PpPJ OrSDI"" data-name=""Bm"" style=""color: rgb(0, 0, 0);"">Bm</span> <span class=""_3PpPJ OrSDI"" data-name=""F#m"" style=""color: rgb(0, 0, 0);"">F#m</span>  
 Set8
  
 http://sites.google.com/site/guitarmusicchordsandlyrics/
","['D', 'A', 'Bm', 'F#m', 'G', 'D', 'G', 'A', 'D', 'A', 'Bm', 'Bm', 'F#m', 'G', 'D', 'G', 'A', 'D', 'A', 'Bm', 'F#m', 'G', 'D', 'G', 'A', 'D', 'C', 'A', 'G', 'Bm', 'Am', 'F#m', 'Em', 'G', 'F']"
0,Di Na Mababawi chords,Di Na Mababawi – Sponge Cola,"Title        :  Di Na Mababawi
 Artist       :  Sponge Cola
 Album        :  Sponge Cola
  
 Chords by    :    Mark Jesson Galera (09082360710)
 Tabbed/Adlib :    Francis-Doobidoo  (09283150081)
  
 For any Comments and Suggestions:
  
 Text Me:     09082360710/09156169501
 Email Me:    jhenson_21@rocketmail.com
 Friendster:  boybassista@yahoo.com
  
  
  *Pinagcombine ko po dito un chords plus the adlib
  *Francis pinost ko na dito un adlib mo...
  *Maraming nagtatanong kung paano un strumming, bsta timing niyo nalang sa   kanta
  
  
 Tuning: Standard
  
  
 [Verse]
  
                   Ngayo'y aking inuunawang pilit, Mga pagkukulang kong iyong iginigiit
                 Sana'y malaman mo na tanging ikaw lamang, Ang aking iniintidi
                   Nakatanim pa sa king alaala, Pangako mong mananatili ka, 
                 Kaya't paglisan mo'y na-iwan, Ang pusong ito na ngayo'y bitin na bitin
  
  
 [Chorus]
  
   Di mo na mababawi, Iniwang sakit sa mga salitang binitiwan mo
             Hindi ba't ikaw  na rin ang nagpasiya,Nagtakda at siyang unang umiwas
   Bakit nga ba ako'y iyong pinaasa
  
  
 [Verse]
  
                   Nasa aking guni-guni ang malaming mong tinig
                   Ksabay ng hangin na dumarampi, Na para bang nariyan sa aking paligid
 Tahimik na nagmamasid
  
  
 [Chorus]
  
   Di mo na mababawi, Iniwang sakit sa mga salitang binitiwan mo
             Hindi ba't ikaw  na rin ang nagpasiya,Nagtakda at siyang unang umiwas
   Bakit nga ba ako'y iyong pinaasa
  
  
 [Bridge]
  
   Nahulog na'ng mga ulap, Buwan at araw, mga bituin
                    Ang ginugol na panaho'y nasaan? (panaho'y nasaan)
       Di ba't sayang naman (sayang naman) giliw,yeah, yeah yeah
  
  
 [Instrumental]
  
  
 (Made by Francis (Doobidoo))
  
 e|-------------3~-----2h3-2-0-2----2----5---5------2h3-2-0----|
 B|--------3----3~---3--------------3----5-7-5---3----------3--|
 G|------2---2-----------------------------7-------------------|
 D|----0-----------------------------------0-0-----------------|
 A|--------------------------------2---------------------------|
 E|-3~-----------------------------------5---------------------|
  
  
 e|--2---5--5-----------------10-----12------14-15-14--10-9----|
 B|--3-5-5--5---------7-10-------10-----10---15-15-15--10-10---|
 G|----6----------7-9------7-----------------------------------|
 D|------0--0--------------------------------------------------|
 A|-2----------------------------------------------------------|
 E|----5-------------------------------------------------------|
  
 e|-------10~--12-10-------------------------------------------|
 B|----12------------12s14------14~----------------------------|
 G|-12------------------------14~------------------------------|
 D|-------------------------14~--------------------------------|
 A|------------------------------------------------------------|
 E|------------------------------------------------------------|
  
 [Chorus]
  
   Di mo na mababawi, Iniwang sakit sa mga salitang binitiwan mo
             Hindi ba't ikaw  na rin ang nagpasiya,Nagtakda at siyang unang umiwas
   Bakit nga ba ako'y iyong pinaasa
  
  
 [Outro]
  
   Bakit nga ba ako'y iyong pinaasa
  
  
 ***********************************
 | s   Slide
 | h   Hammer-on
 | p   Pull-off
 | ~   Vibrato
 ***********************************
","['Bm', 'A', 'D', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'A', 'Bm', 'A', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'Bm7', 'D7', 'G', 'A', 'Bm7', 'D7', 'G', 'A', 'Bm', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'Bm7', 'D7', 'G', 'A', 'Bm7', 'D7', 'G', 'A', 'Bm', 'A', 'G', 'Bm', 'A', 'G', 'Bm', 'G', 'Bm', 'A', 'G', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'G', 'A', 'Bm', 'D', 'G', 'A', 'G', 'A', 'Bm', 'D7', 'G', 'A', 'Bm', 'D7', 'G', 'A', 'Bm7', 'G', 'A', 'Bm']"
0,You Are Good chords,You Are Good – Israel Houghton,"[Chords]
     e|---------------5--7--8---10--7---5-------------7---9-------------------|
 B|-9--7---7---5--5--7--8---10--7-7-5--9---7---5--8---10-----5---7----8---|
 G|-9--8---7---6--6--8--9---11--8-7-6--9---7---5--7---9------5---7----7---|
 D|-9--9---7---7--7--9--10--12--9-7-7--9---7---5--9---11-----5---7----6---|
 A|-7--7---7---7--0--0--0---0---9-5-7--11--9---3--7---9------7---9----7---|
 E|-----------------------------7---5------7------0---0-------------------|
  
  
 [Intro]
  
 [Verse]
 Lord You are good
           And Your mercy endureth forever (repeat)
  
 [Pre-Chorus]
 People from every nation and tongue
 From generation to generation
  
 [Chorus]
     We worship You Hallelujah Hallelujah
     We worship You for who You are
     We worship You Hallelujah Hallelujah
 We worship You for who You are
          You are good!
  
 [Instrumental]
 |   
 [Bridge]
 Play this riff:
    N.C.
 e|------------------|-------------|---------------|---------------|
 B|------------------|-------------|---------------|---------------|
 G|-9--9--12--12--14-|-------------|-9--9--7--7--6-|-----5-5---4---|
 D|------------------|-------------|---------------|---------------|
 A|-7--7--10--10--12-|-------------|-7--7--5--5--4-|-----3-3---2---|
 E|------------------|-------------|---------------|---------------|
  
 N.C.
 You are good all the time, all the time You are good!
 (repeat)
  
 [Outro]
              For who You are, For who You are
              For who You are, For who You are
     You are Good
","['E', 'B/E', 'D/E', 'A/E', 'A', 'B/A', 'Am7', 'D/A', 'B', 'D', 'A', 'E/G#', 'Bm7', 'C', 'Em7', 'F#m7/E', 'C/E', 'D/F#', 'E7#9', 'E', 'B/E', 'D/E', 'A/E', 'E', 'B/E', 'D/E', 'A/E', 'A', 'B/A', 'Am7', 'D/A', 'E', 'B', 'D', 'A', 'E', 'B', 'D', 'A', 'E', 'B', 'D', 'A', 'E/G#', 'Bm7', 'C', 'D', 'Em7', 'Em7', 'F#m7/E', 'D', 'C/E', 'D/F#', 'Am7', 'Bm7', 'E7#9']"
0,Kanlungan chords,Kanlungan – Noel Cabangon,"Song title: Kanlungan
 Artist: noel cabangon
  
 Chords:
 kanlungan
 noel cabangon
 (transcribed by erik yap)
 (standard key: key of E)
 any comments :
 email@ erikcute@yahoo.com
 (thanks)
  
  
 [Intro]
  
  
  
 [Verse]
  
 pana-panahon ang pagkakataon 
 maibabalik ba ang kahapon? 
 natatandaan mo pa ba, 
 nang tayong dalwa ang unang nagkita?
 panahon ng kamusmusan
 sa piling ng mga bulaklak at halaman
 doon tayong nagsimulang
 mangarap at tumula 
  
  
 [Instrumental]
  
  
  
 [Verse]
  
 natatandaan mo pa ba,
 inukit kong puso sa punong mangga
          at ang inalay kong gumamela
 magkahawak-kamay sa dalampasigan
  malayang tulad ng mga ibon
  ang gunita ng ating kahapon
    ang mga puno't halaman
  ay kabiyak ng ating gunita
  sa paglipas ng panahon bakit kailangan ding lumisan?
 N.C.
 (pana-panahon ang pagkakataon
 N.C.
 maibabalik ba ang kahapon?
  
  
 [Instrumental]
  
  
  
 (Do chords) as show on above
  
 ngayon ikaw ay nagbalik
 at tulad ko rin ang iyong pananabik
 makita ang dating kanlungan
 tahanan ng ating tula at pangarap
 ngayon ay naglaho na
 saan hahanapin pa?
  
 lumilipas ang panahon
 kabiyak ng ating gunita
 sa pagli[as ng panahon
 bakit kailangan lumisan?
  
 N.C.
 pana-panahon ang pagkakataon
 N.C.
 maibabalik ba ang kahapon?
  
 lumilipas ang panahon
 kabiyak ng ating gunita
 sa pagli[as ng panahon
 bakit kailangan lumisa?
  
 N.C.
 pana-panahon ang pagkakataon
 N.C.
 maibabalik ba ang kahapon?
  
  
 [Outro]
  
","['A/G#', 'F#m', 'B7', 'E', 'C#m', 'A', 'B', 'E', 'A', 'B', 'C#m', 'A', 'B', 'C#m', 'A', 'B', 'E', 'C#m', 'A', 'B', 'C#m', 'A', 'B', 'E', 'C#m', 'A', 'B', 'C#m', 'A', 'B', 'C#m', 'A/G#', 'F#m', 'B7', 'A', 'B', 'C#m', 'A', 'B', 'E', 'C#m', 'A', 'B', 'C#m', 'A', 'B', 'C#m', 'A', 'B', 'C#m', 'A', 'B', 'E7', 'A', 'B', 'C#m', 'A', 'B', 'E', 'A', 'B', 'C#m', 'A', 'F#m', 'B', 'A/G#', 'B/F#', 'A', 'B', 'A/G#', 'B/F#', 'A', 'B']"
0,Mungkin Nanti chords,Mungkin Nanti – Peterpan,"-------------------------------------------------------------------------------
 author : ghyfer
 tgl    : 29 desember 04
 song title : Mungkin Nanti
 Band   : Peterpan
 Album  : Bintang Di Surga
 -------------------------------------------------------------------------------
  Sebenernya gwe dah ngulik tabnya tapi kayaknya masih kurang, jadi sori kalo gwe cuma
 bisa kasih chordnya aja, mungkin lain kali aja yee...!
  
 -Without intro-
  Saatnya tuk berkata
  Mungkin yang terakhir kalinya
  Sudahlah lepaskan semua
  Kuyakin inilah waktunya
  
                 [Chorus] Mungkin saja kau bukan yang dulu lagi
                          Mungkin saja rasa itu telah pergi..
  
                              [Reff] Dan mungkin bila nanti
                                     Kita kan bertemu lagi 
                                     Satu pintaku jangan
                          Kau coba tanyakan kembali
                                        Rasa yang ku tinggal mati
                                      Seperti hari kemarin
                                  Saat semua disini......
  
 [INTRO]   
  Dan bila hatimu terbangun
  Bangun dari mimpi-mimpimu
  Membuka hatimu yg dulu
  Cerita saat bersamaku
  
 [back to chorus]
 [back to reff] 1x
  
                                        Tak usah kau tanyakan lagi
                                    Simpan untuk sendiri
                                        Semua sesal yang kau cari
                                       Semua rasa yang kau beri......
  
 [INTRO]    
 end of chord.
  
 Oke deh mungkin segitu dulu aja, ntar kalo ada kesempatan gwe kasih tabnya
 yang mo tukar tab/chordnya lagu peterpan tinggal kirim email ke alamat ghyfer@plasa.com
  
 -by3-
","['C', 'Em', 'F', 'C', 'C', 'Em', 'F', 'C', 'G', 'F', 'G', 'F', 'C', 'Em', 'F', 'G', 'C', 'Em', 'F', 'G', 'C', 'Em', 'F', 'G', 'C', 'Em', 'F', 'C', 'C', 'Em', 'F', 'C', 'C', 'Em', 'F', 'G', 'C', 'Em', 'F', 'G']"
